startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
His bones have the strength of a chopsticks,His bones are weak and easy to break,His bone have the strength of a chopstick ,His bone be weak and easy to break ,1,X1377,X1377_1,the-of,0,0,aff,FALSE
The construction workers move at the pace of bees,The workers move quickly,The construction worker move at the pace of bee ,The worker move quickly ,0,X1378,X1378_0,the-of,0,0,aff,FALSE
The construction workers move at the pace of a sloth,The workers are very slow,The construction worker move at the pace of a sloth ,The worker be very slow ,1,X1378,X1378_1,the-of,0,0,aff,FALSE
The cat is as soft as A fifty-thousand dollar mink coat.,The cat is extremely soft.,The cat be as soft as A fifty thousand dollar mink coat . ,The cat be extremely soft . ,0,X1379,X1379_0,as-as,0,not,aff,FALSE
The cat is as soft as A prickly pear cactus.,The cat is not soft at all.,The cat be as soft as A prickly pear cactus . ,The cat be not soft at all . ,1,X1379,X1379_1,as-as,not,0,neg,TRUE
The boy is as obedient as A rabid wolverine.,The boy is very disobedient.,The boy be as obedient as A rabid wolverine . ,The boy be very disobedient . ,0,X1380,X1380_0,as-as,0,0,aff,FALSE
The boy is as obedient as A loyal robot.,The boy is incredibly obedient.,The boy be as obedient as A loyal robot . ,The boy be incredibly obedient . ,1,X1380,X1380_1,as-as,0,0,aff,FALSE
The road is as smooth as A waxed surfboard.,The road is very smooth.,The road be as smooth as A waxed surfboard . ,The road be very smooth . ,0,X1381,X1381_0,as-as,0,as as,aff,FALSE
The road is as smooth as A bed of jagged boulders.,The toad is very rough.,The road be as smooth as A bed of jagged boulder . ,The toad be very rough . ,1,X1381,X1381_1,as-as,as as,0,aff,FALSE
The lamp is as bright as a firefly,the lamp is dim,The lamp be as bright as a firefly ,the lamp be dim ,0,X1382,X1382_0,as-as,as as,0,aff,FALSE
The lamp is as bright as a supernova,the lamp is really bright,The lamp be as bright as a supernova ,the lamp be really bright ,1,X1382,X1382_1,as-as,0,as as,aff,FALSE
Harold is as smart as a comatose dog,Harold is dumb,Harold be as smart as a comatose dog ,Harold be dumb ,0,X1383,X1383_0,as-as,0,0,aff,FALSE
Harold is as smart as a chess grandmaster,Harold is really intelligent,Harold be as smart as a chess grandmaster ,Harold be really intelligent ,1,X1383,X1383_1,as-as,0,0,aff,FALSE
The painting is as beautiful as the Taj Mahal,the painting is really beautiful,The painting be as beautiful as the Taj Mahal ,the painting be really beautiful ,0,X1384,X1384_0,as-as,0,as as,aff,FALSE
The painting is as beautiful as a piece of cat poo,the painting is really ugly,The painting be as beautiful as a piece of cat poo ,the painting be really ugly ,1,X1384,X1384_1,as-as,as as,0,aff,FALSE
His teeth are like a broken piano,His teeth are crooked,His teeth be like a broken piano ,His teeth be crook ,0,X1385,X1385_0,like,0,0,aff,FALSE
His teeth are like a row of soldiers in a military parade,His teeth are perfectly straight and aligned,His teeth be like a row of soldier in a military parade ,His teeth be perfectly straight and align ,1,X1385,X1385_1,like,0,0,aff,FALSE
My car is a gazelle,My car is light and fast,My car be a gazelle ,My car be light and fast ,0,X1386,X1386_0,,0,0,aff,FALSE
My car is a gila monster,My car is heavy and slow,My car be a gila monster ,My car be heavy and slow ,1,X1386,X1386_1,,0,0,aff,FALSE
Your penis is a slimy slug,Your genitals are gross.,Your penis be a slimy slug ,Your genitals be gross . ,0,X1387,X1387_0,,0,0,aff,FALSE
Your penis is a rock hard baseball bat,Your genitals are enticing.,Your penis be a rock hard baseball bat ,Your genitals be entice . ,1,X1387,X1387_1,,0,0,aff,FALSE
This Fits like A 10year old in a bassinet,This does not fit,This Fits like A 10year old in a bassinet ,This do not fit ,0,X1388,X1388_0,like,not,0,neg,TRUE
This Fits like A wetsuit,This is a close fit,This Fits like A wetsuit ,This be a close fit ,1,X1388,X1388_1,like,0,not,aff,FALSE
The concept has the clarity of a diamond,The concept is clear,The concept have the clarity of a diamond ,The concept be clear ,0,X1389,X1389_0,the-of,0,0,aff,FALSE
The concept has the clarity of muddy water,The concept is unclear,The concept have the clarity of muddy water ,The concept be unclear ,1,X1389,X1389_1,the-of,0,0,aff,FALSE
The solution is the Old Faithful geyser,The solution is reliable,The solution be the Old Faithful geyser ,The solution be reliable ,0,X1390,X1390_0,,0,0,aff,FALSE
The solution is rain in a drought area,The solution is unreliable,The solution be rain in a drought area ,The solution be unreliable ,1,X1390,X1390_1,,0,0,aff,FALSE
The privacy policy is as clear as glass,The privacy policy is transparent,The privacy policy be as clear as glass ,The privacy policy be transparent ,0,X1391,X1391_0,as-as,0,0,aff,FALSE
The privacy policy is as clear as wood,The privacy policy is opaque,The privacy policy be as clear as wood ,The privacy policy be opaque ,1,X1391,X1391_1,as-as,0,0,aff,FALSE
Before the race start the driver was calm as a graveyard,The driver's heart-rate was ice-cold and almost non-existent,Before the race start the driver be calm as a graveyard ,The driver heart rate be ice cold and almost non existent ,0,X1392,X1392_0,as,0,0,aff,FALSE
Before the race start the driver was boiling,The driver's heart-rate was racing due to nerves,Before the race start the driver be boil ,The driver heart rate be race due to nerve ,1,X1392,X1392_1,,0,0,aff,FALSE
The cat clung to their owner as a leech,The cat only sought the owner because of an unwillingness to support itself,The cat clung to their owner as a leech ,The cat only seek the owner because of an unwillingness to support itself ,0,X1393,X1393_0,as,0,0,aff,FALSE
The cat clung to their owner as a infant,The cat sought the owner out of love and emotion,The cat clung to their owner as a infant ,The cat seek the owner out of love and emotion ,1,X1393,X1393_1,as,0,0,aff,FALSE
The teenager in the early morning before school was a early bird,"The teenager jumped out of bed in the morning, ready for school",The teenager in the early morning before school be a early bird ,The teenager jump out of bed in the morning ready for school ,0,X1394,X1394_0,,0,0,aff,FALSE
The teenager in the early morning before school was a sloth,The teenager refused to move with any urgency in the morning,The teenager in the early morning before school be a sloth ,The teenager refuse to move with any urgency in the morning ,1,X1394,X1394_1,,0,0,aff,FALSE
He was bright like a lightning bug.,He was very bright.,He be bright like a lightning bug . ,He be very bright . ,0,X1395,X1395_0,like,0,not,aff,FALSE
He was bright like a cloud.,He wasn't bright.,He be bright like a cloud . ,He be not bright . ,1,X1395,X1395_1,like,not,0,neg,TRUE
He was as nice as a grandmother on Christmas,he was cordial,He be as nice as a grandmother on Christmas ,he be cordial ,0,X1396,X1396_0,as-as,0,0,aff,FALSE
He was as nice as an anthill that's been kicked,He was mean,He be as nice as an anthill that be kick ,He be mean ,1,X1396,X1396_1,as-as,0,0,aff,FALSE
He was as depressed as a sloth with no family,he was sad,He be as depress as a sloth with no family ,he be sad ,0,X1397,X1397_0,as-as,0,0,aff,FALSE
He was as depressed as a kid on his birthday,he was happy,He be as depress as a kid on his birthday ,he be happy ,1,X1397,X1397_1,as-as,0,0,aff,FALSE
He had the fondness of a pet dog,He unconditionally displayed affection,He have the fondness of a pet dog ,He unconditionally display affection ,0,X1398,X1398_0,the-of,0,0,aff,FALSE
He had the fondness of a pet cat,He was fickle in displays of affection,He have the fondness of a pet cat ,He be fickle in display of affection ,1,X1398,X1398_1,the-of,0,0,aff,FALSE
My skin fits perfectly,I am happy with my outward presentation,My skin fit perfectly ,I be happy with my outward presentation ,0,X1399,X1399_0,,0,0,aff,FALSE
My skin fits uncomfortably,I dislike my outward presentation,My skin fit uncomfortably ,I dislike my outward presentation ,1,X1399,X1399_1,,0,0,aff,FALSE
The contestant has the smarts of someone in Mensa.,The contestant is brilliant.,The contestant have the smart of someone in Mensa . ,The contestant be brilliant . ,0,X1400,X1400_0,the-of,0,0,aff,FALSE
The contestant has the smarts of a rock.,The contestant is dumb.,The contestant have the smart of a rock . ,The contestant be dumb . ,1,X1400,X1400_1,the-of,0,0,aff,FALSE
The bull has the strength of a meteor coming in for landing.,The bull is strong.,The bull have the strength of a meteor come in for landing . ,The bull be strong . ,0,X1401,X1401_0,the-of,0,0,aff,FALSE
The bull has the strength of a Jello melting in the sun.,The bull is weak.,The bull have the strength of a Jello melting in the sun . ,The bull be weak . ,1,X1401,X1401_1,the-of,0,0,aff,FALSE
The sunglasses you're wearing has the fashion of Mr. Bean.,The sunglasses don't look stylish.,The sunglass you 're wear have the fashion of Mr. Bean . ,The sunglass do not look stylish . ,0,X1402,X1402_0,the-of,not,0,neg,TRUE
The sunglasses you're wearing has the fashion of Salvatore Ferragamo.,The sunglasses are cool.,The sunglass you 're wear have the fashion of Salvatore Ferragamo . ,The sunglass be cool . ,1,X1402,X1402_1,the-of,0,not,aff,FALSE
Her skin is  pure silk.,Her skin is very soft.,Her skin be pure silk . ,Her skin be very soft . ,0,X1403,X1403_0,,0,0,aff,FALSE
Her skin is jute cloth.,Her skin is very harsh.,Her skin be jute cloth . ,Her skin be very harsh . ,1,X1403,X1403_1,,0,0,aff,FALSE
The woman was as useful as People Magazine,The woman was useless.,The woman be as useful as People Magazine ,The woman be useless . ,0,X1404,X1404_0,as-as,as as,0,aff,FALSE
The woman was as useful as a surgeon,The woman was useful.,The woman be as useful as a surgeon ,The woman be useful . ,1,X1404,X1404_1,as-as,0,as as,aff,FALSE
This bottle of beer is as cold as ice,The bottle of beer is cold,This bottle of beer be as cold as ice ,The bottle of beer be cold ,0,X1405,X1405_0,as-as,0,as as,aff,FALSE
This bottle of beer is as cold as bath water,The bottle of beer is warm,This bottle of beer be as cold as bath water ,The bottle of beer be warm ,1,X1405,X1405_1,as-as,as as,0,aff,FALSE
His fury was frightful like a lion,His fury was intimidating,His fury be frightful like a lion ,His fury be intimidate ,0,X1406,X1406_0,like,0,not,aff,FALSE
His fury was frightful like a mouse,His fury was not intimidating,His fury be frightful like a mouse ,His fury be not intimidate ,1,X1406,X1406_1,like,not,0,neg,TRUE
This bowl has been useful like a charm,The bowl is useful,This bowl have be useful like a charm ,The bowl be useful ,0,X1407,X1407_0,like,0,not,aff,FALSE
This bowl has been useful like a screendoor in a submarine,The bowl is not useful,This bowl have be useful like a screendoor in a submarine ,The bowl be not useful ,1,X1407,X1407_1,like,not,0,neg,TRUE
The heart was as healthy as a teenager at the gym,the heart was strong,The heart be as healthy as a teenager at the gym ,the heart be strong ,0,X1408,X1408_0,as-as,0,0,aff,FALSE
The heart was as healthy as a smoker in his eighties,the heart was falling apart,The heart be as healthy as a smoker in his eighty ,the heart be fall apart ,1,X1408,X1408_1,as-as,0,0,aff,FALSE
The snake was as deadly as a wild bear,it was dangerous,The snake be as deadly as a wild bear ,it be dangerous ,0,X1409,X1409_0,as-as,0,0,aff,FALSE
The snake was as deadly as a ladybug,it was meek,The snake be as deadly as a ladybug ,it be meek ,1,X1409,X1409_1,as-as,0,0,aff,FALSE
the thugs were as cruel as Hitler in the thirties,they were evil,the thug be as cruel as Hitler in the thirty ,they be evil ,0,X1410,X1410_0,as-as,0,0,aff,FALSE
the thugs were as cruel as a new born dove,they were nice,the thug be as cruel as a new bear dove ,they be nice ,1,X1410,X1410_1,as-as,0,0,aff,FALSE
He devoured the pizza like a swarm of soldier ants,He ate fast and sloppy,He devour the pizza like a swarm of soldier ant ,He eat fast and sloppy ,0,X1411,X1411_0,like,0,0,aff,FALSE
"He devoured the pizza like a satiated, sleepy kitten",He ate slow and sparingly,He devour the pizza like a satiated sleepy kitten ,He eat slow and sparingly ,1,X1411,X1411_1,like,0,0,aff,FALSE
The puzzle was as complex as a quantum mechanics equation,The puzzle was hard,The puzzle be as complex as a quantum mechanic equation ,The puzzle be hard ,0,X1412,X1412_0,as-as,0,0,aff,FALSE
The puzzle was as complex game of tic-tac-toe,The puzzle was easy,The puzzle be as complex game of tic tac toe ,The puzzle be easy ,1,X1412,X1412_1,as,0,0,aff,FALSE
The house stood as sturdy as a Sherman Tank,The house was solidly built,The house stand as sturdy as a Sherman Tank ,The house be solidly build ,0,X1413,X1413_0,as-as,0,0,aff,FALSE
The house stood as sturdy a drunken sailor on the roiling sea,The house was poorly constructed,The house stand as sturdy a drunken sailor on the roiling sea ,The house be poorly construct ,1,X1413,X1413_1,as,0,0,aff,FALSE
The broadway singers had the voice of an angel,The broadway singer was really good at singing,The broadway singer have the voice of an angel ,The broadway singer be really good at sing ,0,X1414,X1414_0,the-of,0,0,aff,FALSE
